Organization,Score
Microsoft,102765.45
Nvidia,34385.25
Others,21747.35
Google,14425.30
Broadcom,8086.75
Arista,5827.25
Cisco,4970.00
Dell Technologies,4200.85
Marvell,2362.00
Intel,1877.95
Nokia,1297.65
Ragile,1118.95
Tencent,668.80
Alibaba,646.90
EdgeCore,534.65
plvision,467.10
Uber,437.10
airbnb,416.50
Linkedin,413.05
Aviz Networks,374.60
Keysight,366.15
Dell,319.10
Juniper,310.50
Centec,310.10
Bayer,288.95
netberg,251.60
ufispace,158.55
xFlow Research,113.75
Ruijie,111.80
Orange,93.25
pensnado,77.80
accton,74.55
Celestica,59.10
Jabil,55.50
fungible inc,50.75
Max-Planck-Institut,47.60
c ai,43.05
GenesisCloud,19.00
asterfusion,15.45
JD,14.25
cloudlight,14.00
Internet Initiative Japan,13.75
the linux foundation,12.45
inspur,6.00
sap,5.75
eBay,4.50
Baidu,4.00
arcanebyte,4.00
ingrasys,4.00
ibm,3.75
@vinted,3.00
n/a,3.00
arm,2.75
standard air & lite,2.50
ntt,2.30
aussie server hosts,2.00
Teraspek,1.75
vertiv,1.75
Tutao,1.50
USnistgov,1.50
teta-co.ir,1.50
@redpill-linpro,1.40
@bisdn,1.25
purepeople,1.25
x-cellent technologies gmbh,1.25
@rbccps-iisc @dreamlabin,1.00
H3C,1.00
china,1.00
buaa,0.75
tw,0.75
university of edinburgh,0.75
ymc ag,0.75
Canonical,0.50
Texas A&M University,0.50
crash course,0.50
terrahost as,0.50
texas a&m university,0.50
@pensando,0.25
duiadns co,0.25
dunstan associates,0.25
first mode,0.10
replicated inc.,0.10
 inventec,0.00
VMware,0.00
criteo,0.00
docker,0.00
fungible,0.00
none,0.00
self,0.00
sonm,0.00
